一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
蔬菜,,大白菜,0.4,0.48,0.55,冀,,斤,2025-07-07
蔬菜,,娃娃菜,0.9,0.95,1.0,冀,,斤,2025-07-07
蔬菜,,小白菜,0.6,0.7,0.8,冀鲁,,斤,2025-07-07
蔬菜,,圆白菜,0.4,0.6,0.8,冀,甘蓝,斤,2025-07-07
蔬菜,,紫甘蓝,0.7,0.75,0.8,冀宁,,斤,2025-07-07
蔬菜,,芹菜,0.8,1.0,1.2,京冀,,斤,2025-07-07
蔬菜,,西芹,1.3,1.4,1.5,辽,,斤,2025-07-07
蔬菜,,菠菜,1.5,1.75,2.0,冀蒙,,斤,2025-07-07
蔬菜,,莴笋,0.5,0.65,0.8,冀,,斤,2025-07-07
蔬菜,,团生菜,1.0,1.4,1.8,冀,,斤,2025-07-07
蔬菜,,罗马生菜,1.8,1.9,2.0,京,,斤,2025-07-07
蔬菜,,散叶生菜,0.9,0.95,1.0,冀京,,斤,2025-07-07
蔬菜,,油菜,1.8,2.0,2.2,京,,斤,2025-07-07
蔬菜,,香菜,3.0,3.75,4.5,冀蒙,,斤,2025-07-07
蔬菜,,茴香,1.4,1.95,2.5,冀,,斤,2025-07-07
蔬菜,,韭菜,1.0,1.25,1.5,冀,,斤,2025-07-07
蔬菜,,苦菊,2.2,2.3,2.4,辽冀,,斤,2025-07-07
蔬菜,,油麦菜,1.5,2.0,2.5,京冀,,斤,2025-07-07
蔬菜,,散菜花,1.0,1.4,1.8,冀,,斤,2025-07-07
蔬菜,,绿菜花,1.2,1.5,1.8,津冀,,斤,2025-07-07
